chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
-0.049205933	0.686896568	0.226527333	-0.6750533	0.706950532	0	-1.751931718	0.991177458	-1.442071269	1.147954932	0.940365807	-0.290619532	-1.013587172	0.695038655	-0.688311461	-1.805058824	-4.097600874	1.537774598	-13.33350115	2.415292624	11.9654847	-1.836515073
0.535762772	0.903901351	0.93467807	-0.294156989	0.049296875	-0.311770985	-1.587285534	1.387423745	0	1.877069347	1.416059447	-0.091416602	-0.083690454	-0.227259723	-0.7648548	-1.284246316	-4.160290816	2.530241441	-14.72898394	3.234132689	6.970772253	-1.895778289
-0.539203624	0.781524207	0.789920442	0.258017852	0	-0.527431662	-1.262664445	2.22399091	-1.024222834	1.178490867	1.170991633	-0.568303245	-0.321553007	0.130730932	-1.005288781	-0.696257051	-5.284429837	2.573528224	-14.73951258	2.620570397	-0.59197205	-3.076187227
-0.06875683	0.241199191	0.472244933	0.235301896	0.093395762	-1.198014004	-2.261530806	1.578682163	-0.152541041	1.640626362	0.85622576	-0.927553007	-0.205214297	-0.545815699	-0.046203324	0	-5.06421725	3.393844197	-14.83601766	3.291277596	1.324956353	-2.857777761
-0.017658637	0.815861551	1.406903776	1.231943736	1.50610725	0	-0.52737902	1.841922081	-0.401671998	1.194521582	1.41000537	-0.027402088	0.84734359	-0.439647019	-1.016345483	-1.161566491	-4.515343876	2.135403623	-13.10691839	2.472674988	-0.78179045	-2.911841154
-0.839870975	0.361820423	0	0.592300287	0.345465907	-0.350996288	-1.805820018	1.674640826	-0.682972734	1.258456918	1.495690198	-0.961630081	0.423525452	0.672002333	-0.890842668	-0.26792007	-6.144705903	3.899938917	-13.61445282	3.452831328	1.432983637	-4.704477901
-0.128825652	0.895017518	0	0.132959627	0.293323951	0.053397796	-1.694543812	2.135242744	-0.807991546	0.863776182	1.283941539	-0.153689558	-0.584068914	-0.359996426	-1.168002842	-1.042219125	-4.573579696	3.580152833	-14.02471178	3.867726014	0.053850982	-4.168430877
-0.673018193	0.544437494	0.178418407	0.048373638	0.640062577	-0.648382744	-2.353315286	1.422599432	-0.090032106	1.367619446	0.356024502	0	-0.209761681	-0.283681407	-0.045009028	-1.684034544	-5.208444927	2.848577038	-14.72776346	2.787792112	-0.714131744	-1.95343901
-0.540318431	1.189131436	0.117410526	0	0.253462919	-0.387804893	-0.942627734	2.076066136	-1.434236657	1.339665091	1.031848326	0.038378473	-0.786664744	-0.834729404	-0.161696107	-1.119038737	-5.50182918	3.664597823	-16.23210146	4.448839917	0.744840311	-4.597553753
-0.157346348	0.357466255	0.943716055	1.1642877	0	-0.204781491	-1.202507	2.200656699	-0.685461854	0.954340552	0.804296708	-0.775386064	-0.544357081	-0.907794916	0.774008377	-1.223336387	-5.431946996	3.962280755	-17.13655932	3.491887014	2.145203469	-2.107097258
-0.5422781	0.950277931	0	0.299634562	0.160051947	-0.15780662	-0.878031378	1.114464191	-1.302951071	1.184241931	0.117270568	-1.931048154	0.131140843	0.220478892	-1.534613859	-1.54574131	-5.757333106	3.595916798	-14.5683507	1.79955809	-0.49421008	-2.97331821
0.364210636	1.426361107	0.360837737	-0.792304374	-0.258097127	-0.100187959	-0.950013484	1.728785704	-0.673573263	2.225143093	0.891626686	0.070506268	-0.694964085	0	-0.214683965	-1.188613351	-4.322888497	2.488112775	-18.41223285	4.42536347	1.962808795	-1.600798857
-0.376963874	0.32206534	0.578951659	0.183039652	0.563089387	-0.134168406	-0.949344693	2.24137948	-0.036593084	0.996535539	1.903889231	0	0.369725095	-0.590196545	-1.661384629	-0.031846234	-4.399783058	2.374734065	-13.78516613	3.345273951	1.277081177	-4.783032002
-0.58600762	0.542609163	0.875402555	0.429536205	0.813746401	-0.54235966	-1.113297573	1.831535007	-1.267570832	0.748058198	0.66154521	0	0.626806589	-0.279807019	-1.747383669	-1.07661697	-5.689704082	2.893961092	-16.76177946	2.730344871	0.657652931	-4.145652651
-0.381713873	0.181420797	0.442176752	0.875365827	-0.769654351	-0.532875801	-1.673483304	1.438991498	-1.683289591	1.462911051	0.244206747	0	-1.674015011	-0.365129145	0.757184186	-1.212789553	-8.232810362	4.211518128	-24.53403923	4.634958634	3.325139782	-3.853121255
0	1.172337838	0.270656984	0.881205996	0.098695488	-0.603964588	-1.010299858	2.09975706	-0.464711686	1.220961031	1.151850658	-0.544279122	0.173795609	-0.003048951	-0.370204133	-1.682933805	-5.179339422	4.232144552	-14.6867638	2.004715243	1.217408697	-4.111398077
0.288774692	0.75135375	0.666092495	0	0.949763477	-0.701694449	-0.730376952	2.022276829	-0.149569118	2.18303955	1.364044991	-0.674657487	1.34731859	-0.109300173	-0.034742068	-1.118379251	-4.429745778	5.13386052	-18.74177768	5.059056333	0.056674023	-1.519508963
-0.553796445	0.534111994	0.586959453	0.421540323	1.309097393	-0.314156904	-0.879159711	2.147875338	-0.889514433	0.558103963	0.767474168	-0.321595878	-0.251677949	0	-0.734663078	-1.842232447	-6.813642631	3.541403572	-14.9247031	4.113235924	0.784007853	-3.694136923
0.123970572	0	0.945282587	1.139572527	0.884415167	-0.762040498	-1.627396043	2.53824833	-0.900155003	0.753998857	-0.180775069	0.073313498	-0.609140025	-0.471637938	-0.022889436	-0.213111051	-5.887489062	3.858818313	-15.55123036	2.731095785	2.899827013	-3.743401184
-0.578711126	0.621634555	0.531632578	-0.638165603	0.631118197	-0.216177713	-1.437803454	1.573722858	0	1.747431184	0.992463783	0.130687878	-0.530501742	-0.848845321	-0.849719716	-1.450726677	-5.34620854	3.150156253	-16.0235217	2.989118284	0.592993897	-2.62926177
0.255715466	1.142506412	1.265469077	0	-0.724011121	0.216163425	-1.913900077	1.234021785	-1.20480611	0.787567814	0.481414001	-0.442116845	-0.401016404	-0.579967288	-0.280070299	-1.573597652	-5.427457625	3.40750279	-19.30018098	2.507337071	0.64248353	-5.611897996
0.534699346	0.23445746	0.486812349	-0.463531368	0.028440215	-0.650136046	-1.578920818	0.542770575	-0.324761452	0.217151535	0.42842643	-0.689178428	-0.226108172	0	-1.541684846	-3.006110898	-5.814495706	2.818062275	-16.25638522	1.799425985	-0.711863851	-3.21901886
0	0.958607086	0.754991254	0.113397463	0.35610023	-0.351002347	-1.349507644	1.849024256	-1.015663512	0.699660988	0.552680348	-0.467481796	0.48281766	-0.269632601	-0.86303037	-2.055312641	-4.364017427	2.002947815	-12.3408261	2.201581318	0.737385314	-1.331810607
0.107951735	0.802930012	1.104375775	-0.046091263	0.605359664	0	-1.284274129	1.975615751	-1.273201532	1.165553443	0.883033704	-0.487312339	0.115329405	-0.337357179	-0.627907143	-1.342278913	-6.572463121	2.405723027	-15.93830251	3.616571465	1.200546468	-2.87797922
-0.34971337	0.358278979	0.219480692	0.28202707	0.8400763	-0.940603207	-1.803169782	1.738219073	-0.932981332	1.076167535	1.095875428	-0.068371004	-0.586061712	0	-1.238393672	-1.013240515	-4.68338482	2.833963503	-11.90081609	2.413019788	8.516152548	-0.791665014
0.379227493	1.101901252	1.039782094	-0.093977132	0.863438474	-0.278563141	-1.252936838	1.84706809	-0.353815392	1.711343578	1.415711215	-0.017033653	0.811308594	-0.242461278	0	-1.444717938	-5.29198856	3.341263993	-18.31198749	3.236662717	1.254903678	-4.673967228
0	0.86780912	1.142453105	-0.299436789	0.733379749	-0.552511329	-0.677452691	2.426762862	-1.231135114	0.910188737	1.642357104	-0.25721511	-1.775219552	0.417997669	-0.589718355	-0.407166514	-5.741671549	3.787390094	-16.44594118	4.859898921	1.883513075	-2.961051969
0.897030102	0.592104261	0.622907678	-0.421849718	0.033717663	-0.756886352	-1.600564913	2.284686739	-0.862570247	1.404543089	0.964124199	-0.096652701	0.201630684	-0.722941594	-0.213627621	0	-3.583584389	3.518888321	-12.43779234	3.761207815	2.175816419	-0.596390571
0.184042042	0.644526308	0.082823401	-0.221687034	1.069885467	0	-1.630856059	2.643781456	-1.059901122	0.690100498	1.098896481	-0.208824644	0.259949026	-0.398087583	-0.333515804	-0.04574969	-5.350952351	2.692334787	-13.97721174	3.377724513	2.517963744	-3.069275609
-0.520656937	0.982893664	0.556540218	0.294480858	0.708918286	-0.47037391	-1.533822734	2.501571081	-1.078576556	0.49357398	0.471936035	-0.875306414	0.52496084	0	-0.390241958	-0.704742176	-6.201332783	3.357279382	-18.89033575	3.898140252	-0.043596781	-2.784678426
-0.073497878	0.813093033	0.874229363	0.268279552	0.40112658	-0.008143438	-1.029755251	1.64057948	-1.004461165	0.741607204	0.02287271	-0.792742203	0.256049297	0	-1.924625388	-1.703628059	-5.901366476	1.980897942	-15.53237181	2.78238598	0.086972775	-2.815479431
-0.096531117	1.070032178	0.613678282	0.355900389	0	-0.318293431	-1.651046775	2.481047996	-0.838375283	0.567584625	0.705287783	-0.150433994	-0.628105791	0.277430066	-0.859219561	-1.040384631	-6.246578666	5.326988882	-15.45153018	1.747514962	-0.822464949	-2.241898647
0.464815703	0.207625723	0.826775619	-0.127343292	0	0.00530182	-2.492826749	0.989324752	-1.059420852	0.857804082	0.291771064	-0.140348138	-1.222170712	-1.189453829	-0.065532001	-1.77525111	-5.309093053	6.29962126	-14.66915277	1.282666297	1.347047669	-1.271556438
0.278144351	0.661529561	0.76715801	0	-0.238752143	-0.338372717	-1.983672159	1.556632245	-0.514033513	1.775572355	0.499076284	0.055136825	6.040422578	-0.071853272	-0.391222421	-1.598013068	-4.663323592	2.602312129	-15.59042344	2.913201152	-1.05891107	-2.493178141
0.047260831	-0.488985422	0.239484708	-0.474991592	0	-1.071369489	-2.278313732	1.348190357	-0.591993314	0.957228267	0.210355607	0.578142892	0.488165695	-0.513720621	0.951798897	-1.743096631	-3.753825886	4.181215699	-15.16747241	4.080191306	4.204679888	-1.018168625
0.014427806	0.415155574	-0.249418578	0	0.146411607	-0.663767757	-1.780229229	2.252091404	-1.205497707	1.230503014	0.2664131	-0.923206449	-0.713273734	-0.085827776	-0.243084466	1.052803764	-5.14420633	3.036361689	-12.92482095	2.504549748	1.029271611	-2.132289382
-0.226971418	0.164119562	0.590758282	-0.203533228	0	-1.096254905	-1.761602646	1.847072083	-0.982373915	0.967074256	0.115883619	-0.390657908	-0.655191199	0.235062999	0.59868245	-1.900739899	-4.991381313	3.458844864	-16.15502645	2.685903645	1.026510507	-3.086371754
0.288525994	0.436631508	0.069481603	0.906440916	0	-0.067146377	-1.631429826	1.665205643	-0.819839803	0.978875123	0.214949811	-0.840126306	-0.243917207	-1.089602401	-0.512481284	-2.003422676	-5.430988828	2.119759039	-16.37521271	2.863850444	0.727363563	-3.632996626
-0.54161413	0.6905406	0.41099474	0.365862564	0.566380661	0.291352574	-1.400666776	1.350703776	-1.299331121	0.929432007	0	-0.495295225	0.306566954	-1.014645772	-0.924619847	-2.181375583	-4.094211177	2.434950725	-11.11326509	2.085471732	1.223019794	-4.286832501
-0.673346334	-0.222945811	0.221689753	0.258485678	0.063543826	-0.362140244	-2.065920462	1.798186929	-1.261535553	0.576367388	0	-0.960868793	0.293701777	0.047717568	0.033558847	-2.078563264	-6.024462427	1.845474766	-14.71073139	3.301648864	0.001492527	-5.40252681
-0.021632925	0.335475982	0.574569056	0.53347142	0.290012099	-0.129130593	-0.390650148	1.208720183	-1.109806262	0.629573062	0.416336715	-1.121147629	0.654859383	-0.091880804	0	-2.951925871	-4.772542493	3.369074983	-14.06289591	2.528073989	13.92988728	-4.058641532
-1.084882847	0.603830363	0.419296563	-0.191508602	0.503796224	-0.749388711	-1.645434498	1.444837648	-1.52817225	0.362751523	0.052973315	0.13107576	0.214334367	0	-1.393516982	-1.976784894	-3.822518531	2.747802099	-13.93903837	4.118499874	7.770092787	-4.080848804
-0.557897697	0.281780961	0.056841461	0.069967619	0.213339878	0	-1.446773693	1.305986785	-1.398752602	0.800170114	0.670826115	-0.555368475	-0.257872548	-0.732733689	-0.640339073	-2.614026053	-5.429409479	4.58887901	-13.06972324	1.931810955	-0.081901061	-3.167623441
-0.548498056	0.74232635	0.713669017	0.797382449	0.742721419	-0.243915153	-1.132874811	1.140386729	-1.105958755	0.657674443	-0.47197302	0	0.812926178	0.346331783	-0.649865677	-2.559694952	-4.486395277	3.872596541	-13.10330265	1.775399144	8.882561602	-4.350304131
-0.242750463	0.655772919	0.023513242	-0.03010489	0.494317573	-0.526834336	-1.753779956	2.401387768	0	1.395907811	0.711747221	-0.136330018	0.521008066	-0.744328149	0.390519496	-1.063269182	-6.137056349	2.466634775	-16.43301757	2.420427348	6.834683578	-3.886265193
0	-0.72255141	0.389509547	0.225560825	0.346873965	-0.27041233	-1.954760124	1.992324527	-0.993969645	0.728880581	0.007351296	0.128675206	-1.092211828	-0.127391547	-1.599228513	-1.368171418	-6.284840844	3.487677419	-13.85516165	1.13708818	0.484571429	-2.843965723
0	0.310506039	1.022000484	-0.065562724	0.951912498	-0.915825683	-1.776117697	2.135534167	-0.943535488	0.94891951	0.011075217	-0.246884112	0.924617389	-0.24233044	0.501465171	-1.120087634	-5.697779871	2.75227753	-14.31249778	3.26301469	9.107469324	-3.195573032
-0.624052775	0.460478572	0.330729494	0.662345861	0.669795278	-0.198048527	-0.885901196	0.782419938	-0.987046396	0.786013929	0.173630893	-0.813042595	0.633764158	0	-0.890582576	-2.949182012	-5.452200718	2.528929819	-13.01410684	0.240678929	0.056973262	-3.898202041
-0.362124328	0.729234972	1.258909794	-0.372888895	0.915799984	-0.901152706	-0.862825381	1.800139075	-0.709128676	0	1.899269388	-0.156489556	-0.167375074	0.100146923	-1.444847637	0.175380496	-4.692179053	3.520160422	-11.23461146	3.821309435	6.507073872	-1.878717002
-0.137573219	0.960480129	1.704759719	-0.184970437	0	-0.206890061	-1.294878873	1.954178419	-0.104652612	1.612586069	1.025000962	0.417908861	0.400451275	0.542850379	-0.045023368	-1.414618851	-4.822043359	2.401997445	-15.54069318	1.712754963	-0.405700179	-3.161579459
0	0.060348467	0.66333315	0.068151145	0.956011698	-0.88959863	-1.776930223	2.123762287	-0.433953317	0.991311414	0.194629189	-0.187888722	6.144492908	-0.889203901	-1.373158441	-0.578472594	-5.00222938	2.525232533	-14.47732164	3.514843495	1.33861303	-2.491355492
-0.233957212	0.177234536	0.366517627	-0.653009723	0	-0.454996769	-1.808908676	1.619505389	-1.332680069	0.377694678	1.032510518	0.121198866	-0.465796297	-0.304019635	0.191496898	-2.180804185	-4.705781498	1.885421255	-14.49675453	1.637587899	10.28526419	-1.643491415
-0.578065698	0.320562488	0.206954654	0.408770159	0	0.046747443	-0.938404627	0.408271476	-1.207419349	0.133448727	0.079452262	-1.061797605	0.203916859	-0.716371272	-1.656419946	-3.238127406	-5.725120533	2.231567592	-13.16098077	1.106560016	8.922268718	-4.70946687
-0.872266888	0.290816571	0	0.955625169	0.46455504	-0.359742757	-1.24846688	2.163882424	-0.797413401	0.602548294	0.396249031	-0.798936185	0.262052518	0.651533709	-0.609025657	-1.767146432	-4.851859493	2.626778115	-12.03651565	1.381167756	5.085215537	-4.112152606
-0.036033656	0.67830724	0.287674626	-0.553429158	0.317867579	-1.045373031	-2.40406262	1.169186797	-1.7300579	0.386215882	0.41367551	-0.172897228	-1.178916971	0.36576076	0	-1.522528645	-7.007302931	3.279229872	-22.64691501	3.053749568	1.878479461	-3.844955777
0	0.6552083	1.083569404	-0.754810385	0.974903546	-0.460393917	-1.772278508	1.375535701	-1.089077936	1.231222221	0.603136931	-0.167854321	-0.055723057	0.730712703	-0.588534497	-1.294456125	-4.67397989	2.355519302	-13.16688852	2.322882902	4.193212656	-1.490318727
0	1.053183481	0.698530738	-0.320873177	0.374760355	-0.372688288	-1.545544702	1.802434169	-1.227881277	1.665346813	0.996268564	-0.823810472	0.222179824	0.473756054	-0.65399442	-0.175137357	-3.647269552	12.45863291	-13.69995384	3.180506737	0.8283001	-1.809951538
0.441629571	0.574589279	0.705907379	-0.519733438	0.848566093	-0.97696033	-1.434202629	2.12856549	-1.269053806	0.304529445	1.441140687	-0.532078632	-0.173373222	-0.218057885	0	-0.619986944	-2.576132899	2.015382391	-9.382178088	2.86003217	7.604149393	-1.107797638
0	0.217195421	0.657370417	0.334051685	0.741817148	-0.298821464	-1.639742147	1.123598577	-0.995491126	0.066781087	0.985611111	-1.402064655	0.328482452	-1.062331857	-1.900753286	-1.188340676	-5.129033151	1.797266782	-11.64106775	1.759195772	16.8631221	-2.23108041
-0.194591383	1.051406346	0	0.463759987	0.225991458	-0.243561787	-0.509437912	1.505033835	-1.415898488	0.553704449	0.03633944	-0.390564313	-0.41942864	-0.471864435	0.03251987	-2.759780571	-5.021128159	2.362278782	-13.50391485	1.75214439	7.975801844	-3.272928393
0.375433857	0	0.472363943	-0.976033562	-0.371012743	-0.273879051	-0.991301456	2.066260407	-1.411801293	1.360712293	0.701115519	-0.779361514	-0.291145721	-0.631136166	1.391679991	0.021547175	-2.861744653	1.728452776	-12.9133936	4.030757922	10.50169038	-0.975608077
-0.198519577	0.576706906	0.553367208	0	0.943859989	-0.168146264	-1.316210341	1.672885391	-1.051940801	0.769748913	1.466629654	-0.683968337	0.680058385	0.169460064	-1.001978097	-1.588230116	-4.117990344	2.697197831	-13.81338243	1.983217906	15.08670135	-4.226718565
0.060711297	0.63879547	0.483736197	-0.471480873	0	-0.489263701	-1.696393776	2.283918694	-0.434483313	0.543573396	1.214098475	-0.170407417	0.914748642	0.530864461	-0.696877723	-1.432691466	-4.56698195	1.536024068	-16.75592682	2.831054282	0.389269932	-2.198336478
-0.298647382	0.136243508	0.336693547	-0.804725643	0.238754742	0.134196432	-2.116801717	1.602661274	-0.554509648	1.469827583	1.627427712	0	-0.213574472	-0.452048381	-0.709354473	-0.430274879	-2.860880551	2.110293088	-15.43966033	2.08085952	1.341105418	-2.36593075
0.221936788	0	0.213139993	-0.462482469	0.6477775	-1.3109607	-2.28285707	1.169522985	-1.242053476	0.940629716	0.36068681	-0.810306408	-0.186324923	-0.138729382	0.525157517	-1.543880119	-4.979729517	3.086701484	-13.98652737	2.962634568	2.544929716	-3.570764432
-0.094259168	0.859707811	0	0.467209248	0.770490826	-0.283025241	-1.991990731	1.275850326	-0.566489963	1.78751045	1.964178742	-0.3107209	-0.622938155	0.072176116	-0.262330388	-0.189116396	-5.240620302	4.255931381	-17.68604287	4.216083944	1.766572003	-1.00360743
0	0.397687323	-0.005306592	0.468230278	0.732563103	-0.262232186	-1.533974797	2.613052776	-1.235692271	1.051808142	0.856015031	-0.167272617	-0.720523449	-0.079654506	-0.819401307	0.385746526	-4.690065589	16.37919408	-14.20846108	3.465428019	0.171688597	-1.676934312
-0.148995144	0.794483855	0.027251175	-0.259057772	1.275604335	-0.653801457	-1.155548234	2.752635816	-0.837952838	1.163602566	0.601441613	-0.052536518	0.065600697	0	0.278020433	-0.676779657	-3.113129888	1.987128628	-16.0253412	2.980658442	-0.462195417	-2.483171576
0.026248037	1.053778843	0.388719524	-0.391666055	0.009358279	-0.347772673	-1.476218264	1.608421592	-1.392777413	0.908143974	1.367568677	0	0.104967559	-0.31723201	-1.645111708	-0.541028509	-3.62248012	1.65404992	-8.919905993	2.099080847	-0.453812969	-1.790035488
0	0.544373667	0.829126323	-0.322576703	0.193399065	0.042939268	-0.818511499	1.177289395	-1.095545673	0.198269599	2.014801082	-0.729743773	-0.025670088	-2.104928126	-0.768969982	-0.181708857	-6.287319867	3.227844079	-16.3098887	2.589413819	-0.85816537	-2.63503194
-0.324300456	0.220519983	1.027073433	-0.137124225	0.500098802	-0.325818541	-1.379371765	1.981846422	-1.402389051	1.378474181	1.172283399	0	-0.041519523	0.017997383	-0.003833649	-1.222685763	-4.318050567	2.850381103	-13.91939221	2.717385991	0.160074171	-2.481313254
0.057545126	-0.225150653	0.612159476	-0.27495302	0.181835745	-1.585089032	-1.682107015	2.136000995	-0.1893193	0.795301839	1.337755805	-0.167166754	0.339657961	0	-1.030363084	0.104433551	-3.406859124	2.685191204	-15.07549988	3.569064658	-0.270797272	-2.44894734
-0.325594149	0.075108849	0.337979674	-0.89344089	0.161971694	0	-2.05680873	1.92772212	0.083946137	1.587135406	1.192118772	-0.437858418	-0.311795334	-0.110596151	-0.591941443	-0.710869615	-6.486004792	3.598793368	-15.96661583	3.396980634	0.730232269	0.042050842
-0.497113913	0.768748298	1.548326718	0.075583283	-0.13974156	-0.261749572	-1.875543226	1.885159923	-0.260850172	1.305646083	0	-1.03080814	0.592852068	0.418613808	0.49723886	-0.731246067	-6.167506129	4.499387933	-18.15628309	3.695768408	3.899288638	-4.486740591
0	0.441241459	0.485261627	-0.146394371	0.514519071	0.308773161	-0.798258055	2.069947458	-0.637882058	1.590401727	1.521645469	-0.431043732	0.34826142	-0.300632901	-1.550709647	-0.818985231	-3.227870293	2.752460812	-12.28517902	2.46163226	1.372622247	-2.077420086
-0.167219697	0.999766052	0.585682365	0.752251439	0	0.292951176	-0.989932828	1.707652245	-0.231664502	1.402345495	1.554790139	-0.417024289	0.588004062	-0.535035392	-1.860038463	-0.440302436	-4.420056525	3.471333459	-15.4909388	2.716396365	3.760658258	-4.235057688
0	0.905070251	0.126954691	-0.137930343	0.274321822	-0.09224001	-1.483521838	2.293314315	-0.761824688	0.19209459	0.684626003	-1.189984866	0.537238512	0.08533284	-1.307662917	-1.251766196	-5.169331719	3.12979528	-11.25462444	2.497910071	1.881933092	-2.717485578
-0.509047779	0.810687411	0.556168915	0.723602195	-0.228865962	0.092733059	-1.565250939	2.016139577	-0.740752351	1.213445717	0.837017782	-0.145384888	-0.355538354	0	-0.904470591	-1.464856357	-7.340996774	4.135426849	-18.13590788	2.33457638	0.36396347	-3.541953877
-0.431822645	0.327692765	0.71885884	0.24620561	0.525921749	-0.077975028	-1.89702069	1.252847293	-2.304866214	0.855208573	0	-0.128246428	1.515684412	-0.694125736	-1.039757562	0.582152763	-5.126377217	2.7248246	-16.97607319	2.818979032	1.925445303	-2.077162699
-0.52160562	0.896030345	0.332033994	0	0.044344385	-0.504404451	-1.419651829	1.880650525	-0.808132451	2.168338673	0.576390981	-0.129655774	-0.120868019	-0.627532375	0.234911093	-0.970432149	-5.360682317	3.373703399	-15.54213907	3.915620896	1.429299208	-4.315196846
0.287805033	1.039796244	0.007022974	-0.376171625	0	-0.646309168	-1.586499341	0.852678315	-1.111189661	0.318131681	0.908508511	-0.816361208	0.168553446	0.512149245	-0.530203714	-2.564506574	-4.456900136	3.322640808	-14.96706913	2.918261438	1.206878485	-3.960492293
0	1.482038822	0.712568624	0.412385226	-0.052365224	0.329435745	-1.433083711	1.887480581	-0.806562336	1.297278233	1.00792609	-0.138140181	0.627222637	-0.678055509	-0.143662553	-1.399491882	-4.988775926	2.893184185	-15.7996475	3.569652859	1.324484067	-3.417973751
0.278554482	0.888788723	0.306397569	0	-0.208046351	0.101282839	-1.001243015	1.797900479	-1.312868373	0.973113278	0.821004711	-0.675274687	0.41430578	-0.370696489	-0.207312497	-2.193622137	-3.10307086	2.646422947	-14.41548103	3.24396964	0.79824932	-2.758897291
-0.585451986	0.174391572	1.532981916	-0.118271418	-0.395586376	0.237604214	-1.568783284	1.002956289	-1.743357472	1.215098258	0.566632113	0	0.700912808	0.224268211	-0.054339888	-1.66905843	-4.657860279	2.222542212	-14.81983407	2.308317275	0.942275253	-2.553066942
0.03396815	0.586312605	0.64993083	0.055804023	-0.156791474	0.321336206	-2.623522257	1.76989561	-1.346466433	0.098818609	-0.130013514	-0.425934635	0.331241922	-0.471523818	0	-1.169873444	-5.046112738	3.735022632	-14.16262869	2.554156495	0.075289793	-1.378895408
-0.047182211	0.685179208	0	1.0194586	0.233560561	-0.091094481	-2.103625652	2.147517253	-0.553252652	0.715170062	0.555683399	-0.05568693	0.260004909	0.067440023	-0.030143682	-1.524263856	-5.754741423	4.059883329	-19.23404735	3.207348697	2.45561622	-2.132533104
-0.489017967	0.443228116	0.704264829	0.142698431	0.149901354	-0.109603536	-1.776232318	2.291981658	-1.404576852	0.1996457	0.212292532	0	0.202404256	-0.701077381	-1.117687747	-1.116967797	-6.506506359	3.007254698	-15.18183164	2.274305311	0.948372338	-3.224203487
-0.086422395	0.939993978	0.7069232	0	0.512855524	-0.331191157	-0.406684424	2.522560389	-0.494717285	2.481591547	1.262715484	-0.485654446	0.958272138	0.676412975	-0.06992385	-0.376631197	-4.657175626	4.905934405	-16.09682127	3.180571146	1.469850298	-4.020441848
0.018727	0.721141174	0.921552804	-0.863456761	0.664341203	0	-0.991692463	2.078363379	-1.469596412	0.983706113	0.526408604	-0.530889997	0.292699544	-0.139377578	-1.495855717	-0.443921422	-4.971966243	2.796119661	-16.10409296	2.96549952	1.78130874	-4.468819177
